time,tg,hu,rr,pp
1995-01-01,2.82,84.5,0.0,998.8
1995-01-02,2.36,61.7,0.0,1005.10004
1995-01-03,0.51,73.9,0.0,1018.3
1995-01-04,-0.96,69.0,0.0,1025.7001
1995-01-05,-0.049999997,69.3,0.0,1028.7001
1995-01-06,-2.0,77.6,0.0,1025.4
1995-01-07,-0.66999996,79.8,0.0,1026.8
1995-01-08,-1.31,84.9,0.0,1032.2001
1995-01-09,-1.79,85.200005,0.0,1027.6
1995-01-10,-1.12,85.0,2.0,1010.60004
1995-01-11,0.65999997,86.6,1.2,998.8
1995-01-12,0.65,72.0,0.0,1003.9
1995-01-13,-0.37,75.6,0.0,1020.9
1995-01-14,-2.71,73.1,0.0,1030.4
1995-01-15,-4.88,77.1,0.0,1031.5
1995-01-16,-1.53,78.200005,0.0,1034.5
1995-01-17,-4.44,81.9,0.0,1032.6
1995-01-18,-7.12,84.200005,1.1,1027.5
1995-01-19,-5.31,83.9,7.2000003,1026.2001
1995-01-20,-3.1,81.1,0.0,1033.2001
1995-01-21,-3.07,83.700005,0.0,1029.3
1995-01-22,-2.12,88.8,0.0,1021.9
1995-01-23,1.7099999,81.3,3.1000001,1009.9
1995-01-24,4.35,79.1,0.0,1008.10004
1995-01-25,3.47,74.5,2.7,1010.10004
1995-01-26,8.29,75.5,5.2000003,1005.5
1995-01-27,5.85,62.100002,0.0,1003.10004
1995-01-28,2.84,62.600002,0.0,1013.10004
1995-01-29,5.79,81.8,0.0,1010.4
1995-01-30,5.72,80.0,0.0,1007.5
1995-01-31,3.6299999,65.1,0.0,1020.7
1995-02-01,1.25,65.9,0.0,1029.9
1995-02-02,1.63,70.4,0.0,1024.8
1995-02-03,3.21,58.2,0.0,1032.7001
1995-02-04,2.08,63.3,2.0,1030.6
1995-02-05,4.85,68.9,0.0,1020.0
1995-02-06,5.7,70.700005,0.0,1020.0
1995-02-07,10.67,64.3,0.0,1011.0
1995-02-08,9.599999,60.7,0.0,1005.5
1995-02-09,8.42,68.1,0.0,999.3
1995-02-10,2.02,60.4,0.0,1013.2
1995-02-11,3.6499999,70.9,0.0,1016.10004
1995-02-12,7.1299996,73.1,0.0,1017.8
1995-02-13,8.54,71.0,0.0,1023.0
1995-02-14,6.8199997,85.9,0.0,1016.4
1995-02-15,8.58,82.9,0.0,1018.10004
1995-02-16,7.7799997,87.1,8.0,1015.10004
1995-02-17,8.0199995,70.6,1.5,1015.5
1995-02-18,6.66,86.8,6.7000003,1011.5
1995-02-19,5.91,69.0,0.0,1019.7
1995-02-20,7.6099997,66.6,0.0,1022.9
1995-02-21,11.13,60.8,0.0,1022.10004
1995-02-22,7.24,67.8,0.0,1022.10004
1995-02-23,7.79,67.9,6.4,1016.8
1995-02-24,4.71,82.9,1.4,1006.3
1995-02-25,7.87,68.1,2.6000001,997.7
